member_id,signup_date,age,gender,city,country,membership_type,contract_length_months,monthly_fee,signup_channel,tenure_months,avg_weekly_visits,group_classes_attended,personal_training_sessions,distance_km_to_gym,has_mobile_app,satisfaction_score,late_payments_12m,referred_friends,exit_survey_completed,churned
NF-100021,2023-01-07,37.0,Female,Raleigh,United States,Basic,1,$34.00,Mobile App,24,2.5,8,10,4.64,Yes,6.0,0,0,0,0
NF-100997,2021-04-03,43.0,F,Portland,United States,Basic,1,$29.00,Referral,3,1.87,6,0,6.56,No,7.0,0,0,0,0
NF-100517,2022-01-21,23.0,female,Austin,United States,Premium,6,$79.00,Mobile App,13,3.94,14,0,2.37,Yes,9.0,0,0,0,0
NF-100414,2022-10-09,41.0,F,Portland,United States,Basic,6,$34.00,Walk-in,21,1.78,6,0,2.72,No,6.0,2,0,0,0
NF-100891,2023-02-22,36.0,Female,Austin,United States,Basic,6,$29.00,Website,26,2.16,6,4,1.13,Yes,,-1,0,1,1
NF-102051,2022-03-06,28.0,female,Austin,United States,Basic,1,$29.00,Walk-in,14,1.7,7,0,5.05,No,,1,0,1,1
NF-101052,2023-07-11,37.0,Male,Columbus,United States,Premium,12,$84.00,Website,30,1.38,3,0,1.03,Yes,6.0,1,0,0,0
NF-100334,2023-08-14,41.0,Male,Denver,United States,Basic,6,$29.00,Mobile App,31,3.11,10,0,1.6,Yes,8.0,0,0,0,0
NF-101840,2021-06-21,31.0,male,Denver,United States,Plus,6,$54.00,Mobile App,6,4.0,11,0,1.57,Yes,7.0,0,0,0,0
NF-100853,2023-08-21,41.0,male,Columbus,United States,Plus,12,$45.00,Walk-in,32,0.79,2,0,7.53,Yes,,0,0,1,1
NF-102956,2022-10-03,45.0,F,Portland,United States,Premium,12,$84.00,Website,21,1.38,5,0,2.49,Yes,6.0,2,0,1,1
NF-100469,2021-02-06,45.0,Male,Austin,United States,Premium,12,$75.00,Mobile App,1,5.09,15,0,2.57,Yes,8.0,0,0,0,0
NF-100911,2022-03-30,42.0, Male,Columbus,United States,Basic,1,$25.00,Referral,15,2.12,8,0,5.14,No,6.0,0,1,1,1
NF-101777,2021-10-24,41.0,Female,Portland,United States,Plus,6,$49.00,Mobile App,10,3.68,10,0,1.97,Yes,7.0,0,0,0,0
NF-101645,2022-12-12,21.0,F,Austin,United States,Basic,1,$34.00,Website,23,2.77,11,0,5.03,No,7.0,-1,1,0,0
NF-101783,2022-05-20,51.0,Female,Portland,United States,Basic,1,$25.00,Website,17,1.66,6,0,3.21,Yes,,2,0,1,1
NF-102765,2021-06-05,45.0,Female,Raleigh,United States,Basic,1,$25.00,Referral,5,1.8,6,0,4.69,No,7.0,2,0,0,0
NF-102644,2021-11-25,39.0,Female,Austin,United States,Plus,12,$45.00,Website,11,2.72,9,0,1.45,Yes,9.0,0,0,0,0
NF-102039,2022-12-13,16.0,F,Boise,United States,Basic,6,$34.00,Walk-in,23,2.58,8,0,,No,5.0,0,0,1,1
NF-101341,2022-11-13,25.0,female,Portland,United States,Basic,6,$29.00,Mobile App,22,1.23,4,0,10.81,Yes,3.0,0,0,1,1
NF-101007,2023-03-15,39.0,female,Austin,United States,Plus,1,$54.00,Website,26,0.23,2,0,4.3,No,7.0,0,0,1,1
NF-100210,2023-04-13,33.0,Male,Columbus,United States,Basic,1,$29.00,Mobile App,27,2.54,7,0,3.07,Yes,7.0,0,0,0,0
NF-101599,2023-09-19,38.0,Female,Portland,United States,Plus,6,$49.00,Mobile App,33,1.42,6,0,3.57,Yes,6.0,1,0,1,1
NF-101042,2021-02-05,36.0,Male,Portland,United States,Basic,1,$29.00,Website,1,1.87,7,0,6.37,Yes,6.0,2,0,0,0
NF-101778,2022-08-01,31.0,FEMALE,Denver,United States,Basic,1,$29.00,Walk-in,19,1.27,8,0,2.55,Yes,4.0,0,0,1,1
NF-100697,2021-06-11,,male,Denver,United States,Basic,12,$29.00,Mobile App,5,1.77,6,0,4.92,Yes,6.0,0,1,0,0
NF-100549,2022-08-21,31.0,Female,Austin,United States,Premium,24,$79.00,Referral,20,2.07,7,0,2.36,No,7.0,1,0,0,0
NF-100332,2023-04-25,29.0,Female,Portland,United States,Basic,12,$29.00,Website,28,1.53,5,4,2.62,Yes,6.0,1,0,0,0
NF-100472,2022-10-10,47.0,Female,Denver,United States,Plus,12,$49.00,Walk-in,21,1.94,7,1,5.24,Yes,3.0,0,0,0,0
NF-101955,2022-03-22,43.0,Male,Portland,United States,Premium,12,$75.00,Referral,15,2.1,8,0,2.91,Yes,7.0,0,0,0,0
NF-102693,2023-06-13,29.0,male,Portland,United States,Plus,1,$54.00,Mobile App,29,4.59,14,10,1.54,No,9.0,0,3,0,0
NF-102822,2023-08-29,121.0,Male,Denver,United States,Premium,12,$84.00,Walk-in,32,2.69,10,0,6.43,No,7.0,0,1,0,0
NF-100266,2022-07-01,20.0,M,Austin,United States,Basic,12,$29.00,Mobile App,18,2.85,8,0,1.79,Yes,6.0,0,0,0,0
NF-102889,2023-08-18,24.0,Female,Columbus,United States,Basic,1,$29.00,Walk-in,32,0.82,3,1,1.63,Yes,4.0,0,0,0,0
NF-101014,2023-08-17,21.0,M,Columbus,United States,Basic,1,$25.00,Walk-in,32,1.24,6,0,1.56,Yes,5.0,1,1,1,1
NF-101423,2021-07-02,28.0,Male,Denver,United States,Basic,1,$29.00,Website,6,2.13,6,1,6.9,Yes,6.0,0,1,1,1
NF-100403,2023-06-24,31.0,Female,Portland,United States,Basic,6,$29.00,Referral,30,2.15,7,5,,Yes,6.0,0,0,1,1
NF-102253,2022-09-18,37.0,F ,Boise,United States,Plus,6,$45.00,Mobile App,21,2.1,5,0,,No,6.0,0,0,0,0
NF-101937,2023-03-26,38.0,M,Austin,United States,Basic,12,$29.00,Walk-in,27,2.48,7,1,5.9,Yes,6.0,0,0,0,0
NF-100768,2023-06-07,27.0,female,Raleigh,United States,Plus,1,$45.00,Website,29,2.62,8,0,0.78,Yes,8.0,1,1,0,0
NF-100617,2023-02-01,55.0,M,Portland,United States,Basic,12,$29.00,Website,25,2.3,8,0,3.24,No,4.0,0,0,1,1
NF-102984,2022-01-08,16.0,Prefer not to say,Portland,United States,Plus,12,$49.00,Mobile App,12,2.23,7,0,6.96,Yes,7.0,0,2,0,0
NF-102497,2022-10-04,26.0,female,Raleigh,United States,Premium,24,$79.00,Walk-in,21,2.23,7,6,4.67,No,7.0,0,1,0,0
NF-101890,2022-09-06,16.0,Female,Austin,United States,Plus,1,$54.00,Website,20,3.97,16,0,1.66,Yes,8.0,0,0,0,0
NF-102449,2023-03-14,40.0,Female,Columbus,United States,Premium,24,$79.00,Website,26,3.79,12,0,5.8,Yes,9.0,0,0,0,0
NF-102784,2021-10-09,43.0,Male,Austin,United States,Basic,12,$29.00,Referral,9,1.21,6,0,3.34,No,4.0,1,0,1,1
NF-101083,2022-07-09,34.0,Male,Austin,United States,Plus,12,$49.00,Website,18,1.69,4,0,,No,7.0,0,0,0,0
NF-102337,2022-11-30,41.0,Male,Denver,United States,Basic,1,$29.00,Website,23,3.06,8,0,1.37,Yes,8.0,4,1,0,0
NF-102700,2022-04-04,33.0,Male,Denver,United States,Basic,1,$25.00,Mobile App,15,1.42,4,5,8.07,Yes,6.0,0,0,1,1
NF-100802,2022-04-13,33.0,F,Portland,United States,Basic,6,$29.00,Mobile App,15,0.61,1,0,5.3,No,5.0,1,0,1,1
NF-100175,2021-09-16,51.0,F,Austin,United States,Premium,12,$84.00,Website,8,1.49,6,0,2.38,Yes,6.0,0,0,0,0
NF-100586,2021-08-23,46.0,F,Raleigh,United States,Premium,12,$79.00,Website,8,1.77,5,5,1.2,Yes,7.0,1,0,0,0
NF-102774,2023-02-07,54.0,Female,Portland,United States,Basic,1,$29.00,Referral,25,4.17,14,3,2.84,Yes,7.0,0,3,0,0
NF-101055,2023-01-02,,F,Portland,United States,Plus,6,$49.00,Mobile App,24,2.34,8,8,4.57,Yes,6.0,1,0,0,0
NF-102506,2022-10-27,48.0, Male,Columbus,United States,Plus,12,$49.00,Mobile App,22,1.49,5,9,2.63,No,7.0,1,1,0,0
NF-101043,2022-06-20,51.0,Male,Raleigh,United States,Plus,24,$49.00,Mobile App,18,1.02,3,7,4.93,Yes,6.0,0,0,0,0
NF-102855,2022-09-28,44.0,Female,Austin,United States,Basic,1,$29.00,Website,21,1.98,7,0,2.11,Yes,,0,0,0,0
NF-100070,2021-09-21,25.0,Female,Austin,United States,Premium,6,$79.00,Website,9,4.06,12,2,2.26,Yes,9.0,0,1,0,0
NF-101170,2023-03-25,31.0,Female,Columbus,United States,Plus,12,$54.00,Mobile App,27,2.99,9,0,1.6,No,8.0,0,0,0,0
NF-101579,2022-03-21,24.0,Male,Boise,United States,Basic,1,$25.00,Referral,15,19.8,18,0,5.83,No,7.0,0,0,0,0
NF-100030,2023-06-02,34.0,F ,Portland,United States,Basic,12,$25.00,Website,29,2.81,10,10,,Yes,7.0,0,2,0,0
NF-102916,2021-04-29,40.0,Female,Portland,United States,Plus,12,$45.00,Walk-in,4,2.13,9,0,6.27,No,7.0,0,0,1,1
NF-101411,2021-02-28,,female,Portland,United States,Basic,1,$29.00,Mobile App,2,0.58,3,1,0.83,Yes,2.0,1,0,1,1
NF-102903,2021-05-16,31.0,Male,Denver,United States,Premium,24,$75.00,Website,4,2.96,11,0,0.67,Yes,5.0,0,0,0,0
NF-100269,2023-09-18,66.0,M,Portland,United States,Plus,12,$45.00,Walk-in,33,1.94,8,0,3.62,Yes,5.0,0,0,0,1
NF-102734,2022-10-26,35.0,Female,Columbus,United States,Basic,12,$29.00,Referral,22,1.99,8,10,6.76,Yes,7.0,0,1,0,0
NF-100273,2023-03-02,31.0,Male,Raleigh,United States,Basic,1,$25.00,Mobile App,26,1.54,7,0,5.79,No,,1,0,0,1
NF-102656,2023-05-11,34.0,Female,Austin,United States,Plus,12,$49.00,Website,28,1.92,8,0,7.2,No,5.0,0,0,0,0
NF-101830,2023-05-22,31.0,M,Columbus,United States,Basic,6,$34.00,Website,29,2.45,8,0,4.51,Yes,5.0,1,0,0,0
NF-101780,2022-10-21,,M,Raleigh,United States,Plus,6,$49.00,Referral,22,2.54,9,0,1.97,Yes,8.0,0,2,0,0
NF-102672,2023-02-22,30.0,Male,Columbus,United States,Plus,1,$45.00,Website,26,1.36,5,6,1.8,No,6.0,0,0,1,1
NF-102714,2022-02-01,42.0,Male,Columbus,United States,Basic,6,$29.00,Website,13,0.72,2,1,5.54,No,4.0,2,0,1,1
NF-101177,2021-09-13,27.0,Female,Columbus,United States,Plus,1,$45.00,Referral,8,1.9,5,1,1.12,Yes,7.0,0,0,0,0
NF-101260,2022-05-09,50.0,Female,Portland,United States,Basic,1,$29.00,Walk-in,16,1.65,4,0,2.85,Yes,5.0,1,0,0,0
NF-100057,2021-12-23,42.0, Male,Portland,United States,Premium,24,$79.00,Website,12,1.28,4,7,,Yes,6.0,0,0,1,1
NF-101127,2022-03-26,58.0,female,Austin,United States,Basic,12,$29.00,Website,15,0.22,0,0,0.88,No,4.0,1,0,1,1
NF-101559,2022-03-26,,F,Austin,United States,Premium,12,$84.00,Walk-in,15,1.36,3,4,1.73,Yes,6.0,0,0,0,0
NF-101638,2021-11-07,55.0,Male,Austin,United States,Basic,6,$29.00,Walk-in,10,1.47,5,2,,No,,1,0,1,1
NF-102906,2022-07-11,50.0,Male,Portland,United States,Basic,1,$25.00,Mobile App,18,0.94,4,0,12.29,No,3.0,2,0,1,1
NF-102147,2022-03-03,31.0,F,Denver,United States,Basic,1,$29.00,Mobile App,14,1.71,3,7,14.42,Yes,5.0,0,0,1,1
NF-102479,2022-07-20,25.0,M,Columbus,United States,Basic,1,$34.00,Walk-in,19,2.23,6,7,6.37,Yes,7.0,1,1,0,0
NF-100154,2022-01-28,,F,Denver,United States,Basic,1,$29.00,Walk-in,13,3.23,10,0,10.17,No,,0,0,1,1
NF-100422,2022-06-24,37.0,Male,Portland,United States,Basic,12,$29.00,Walk-in,18,2.2,9,0,4.74,No,6.0,-1,1,0,0
NF-101732,2021-07-26,24.0,male,Denver,United States,Basic,6,$29.00,Mobile App,7,1.09,4,0,5.4,Yes,6.0,1,1,0,0
NF-101136,2022-08-18,20.0, Male,Portland,United States,Basic,1,$29.00,Walk-in,20,1.57,5,0,8.69,No,5.0,1,0,1,1
NF-100481,2022-12-10,28.0,F,Austin,United States,Premium,12,$79.00,Website,23,1.68,5,0,,Yes,6.0,0,0,1,1
NF-100922,2023-02-11,44.0,F,Denver,United States,Basic,1,$29.00,Walk-in,25,1.03,2,0,1.23,Yes,6.0,3,0,0,0
NF-102514,2022-03-03,26.0,Male,Columbus,United States,Basic,6,$34.00,Website,14,2.02,5,0,2.9,No,7.0,1,0,0,0
NF-102036,2023-01-16,47.0,Male,Denver,United States,Basic,6,$29.00,Website,25,3.06,10,15,2.09,Yes,7.0,0,0,0,0
NF-101035,2021-08-27,41.0,Male,Austin,United States,Plus,12,$49.00,Website,8,1.97,5,0,13.17,Yes,9.0,0,0,0,0
NF-101020,2023-06-17,40.0,M,Austin,United States,Basic,1,$29.00,Mobile App,30,1.54,4,0,2.73,Yes,5.0,0,1,0,0
NF-101859,2023-06-03,46.0,Female,Denver,United States,Basic,1,$25.00,Mobile App,29,2.45,10,0,3.62,No,8.0,0,0,0,0
NF-101729,2022-12-16,39.0,Female,Columbus,United States,Basic,6,$29.00,Website,23,0.86,2,1,1.14,Yes,7.0,1,0,0,0
NF-101288,2021-06-08,25.0,Female,Columbus,United States,Basic,1,$29.00,Mobile App,5,1.37,4,3,0.96,Yes,5.0,0,0,0,0
NF-102634,2023-03-04,51.0,Male,Denver,United States,Basic,1,$29.00,Mobile App,26,1.58,5,3,1.73,Yes,6.0,0,0,0,1
NF-102748,2022-02-10,34.0,F,Austin,United States,Plus,12,$49.00,Referral,13,1.94,6,0,2.46,Yes,7.0,0,0,0,0
NF-102931,2023-04-19,21.0,female,Portland,United States,Basic,6,$29.00,Referral,28,1.86,4,0,2.05,Yes,7.0,1,0,0,0
NF-100901,2023-08-24,39.0,Male,Austin,United States,Plus,24,$49.00,Walk-in,32,3.28,10,0,,Yes,6.0,1,1,0,0
NF-102658,2021-11-07,21.0,Male,Austin,United States,Plus,1,$45.00,Walk-in,10,3.56,13,0,3.61,Yes,8.0,0,4,0,0
NF-101476,2021-04-08,31.0,FEMALE,Denver,United States,Plus,12,$49.00,Referral,3,1.03,5,2,1.09,Yes,4.0,2,0,0,0
NF-102283,2022-09-01,42.0,Male,Portland,United States,Plus,12,$45.00,Walk-in,20,3.18,8,0,0.86,Yes,8.0,0,0,0,0
NF-102054,2022-11-12,30.0,F ,Austin,United States,Basic,1,$29.00,Website,22,66.0,4,0,2.54,No,3.0,0,0,1,1
NF-100209,2022-05-12,16.0,F,Austin,United States,Basic,1,$29.00,Walk-in,16,3.27,8,4,3.56,No,8.0,0,0,0,0
NF-102671,2023-06-23,42.0,F ,Denver,United States,Plus,12,$49.00,Website,30,1.72,6,0,0.43,Yes,5.0,0,0,0,0
NF-102809,2021-07-29,27.0,female,Columbus,United States,Plus,12,$54.00,Referral,7,2.38,6,0,0.9,No,6.0,1,2,0,0
NF-100347,2021-05-15,44.0,Female,Columbus,United States,Plus,6,$49.00,Website,4,1.03,5,0,0.31,Yes,5.0,0,0,1,1
NF-101733,2022-01-04,40.0,F,Denver,United States,Basic,6,$29.00,Website,12,1.27,3,0,3.65,Yes,,0,0,1,1
NF-101233,2021-11-02,64.0,FEMALE,Denver,United States,Premium,12,$75.00,Website,10,2.86,11,0,0.82,Yes,9.0,0,1,0,0
NF-100511,2021-07-05,26.0,FEMALE,Denver,United States,Premium,24,$79.00,Referral,6,3.11,9,0,7.58,Yes,7.0,0,0,0,0
NF-100602,2023-06-27,22.0,Female,Portland,United States,Basic,1,$25.00,Website,30,2.74,10,0,4.53,No,7.0,0,0,0,0
NF-100087,2022-10-29,37.0,Female,Denver,United States,Basic,12,$34.00,Website,22,3.73,12,3,2.13,Yes,9.0,0,0,0,0
NF-102037,2023-05-19,30.0,female,Denver,United States,Premium,24,$79.00,Mobile App,29,1.95,7,0,4.29,Yes,6.0,0,0,0,0
NF-102325,2023-08-18,37.0,Female,Boise,United States,Basic,6,$29.00,Walk-in,32,1.66,5,1,0.88,Yes,5.0,1,0,1,0
NF-100914,2021-05-01,36.0,FEMALE,Denver,United States,Plus,1,$54.00,Website,4,3.92,12,0,2.66,Yes,7.0,0,1,0,0
NF-102395,2022-01-12,27.0,Other,Austin,United States,Basic,1,$25.00,Mobile App,12,1.41,5,4,4.68,No,6.0,0,0,1,1
NF-100164,2022-04-04,34.0,M,Portland,United States,Basic,12,$29.00,Website,15,1.78,6,0,2.07,Yes,8.0,0,0,0,0
NF-101032,2022-09-13,47.0,Male,Portland,United States,Premium,24,$79.00,Referral,20,1.3,4,3,3.82,Yes,6.0,1,1,0,0
NF-101218,2022-12-31,58.0,Male,Denver,United States,Basic,6,$25.00,Referral,24,2.09,6,0,3.81,Yes,7.0,0,0,0,0
NF-101699,2023-07-25,46.0,MALE,Austin,United States,Basic,1,$25.00,Walk-in,31,2.01,5,0,2.03,No,5.0,0,0,1,1
NF-100069,2021-10-09,16.0,Other,Denver,United States,Basic,6,$34.00,Mobile App,9,1.99,6,1,3.36,Yes,6.0,1,1,0,0
NF-102587,2022-02-20,23.0,M,Austin,United States,Basic,1,$25.00,Mobile App,14,1.29,4,0,3.73,Yes,,0,1,1,1
NF-101234,2021-05-16,61.0,M,Denver,United States,Premium,12,$75.00,Walk-in,4,1.97,8,5,1.28,No,5.0,1,0,0,0
NF-102900,2023-03-20,58.0,Female,Denver,United States,Basic,1,$29.00,Mobile App,27,3.25,11,17,,Yes,10.0,0,0,0,0
NF-101787,2021-10-03,26.0,Female,Portland,United States,Basic,6,$25.00,Referral,9,0.76,3,0,2.07,No,5.0,0,0,0,0
NF-101548,2021-08-10,39.0,Female,Denver,United States,Premium,12,$84.00,Website,7,0.85,2,0,8.98,No,3.0,1,0,1,1
NF-100236,2021-10-07,50.0,F,Columbus,United States,Premium,24,$79.00,Walk-in,9,3.66,12,7,2.16,Yes,8.0,0,0,0,0
NF-101037,2023-07-31,27.0,MALE,Portland,United States,Basic,12,$29.00,Walk-in,31,1.08,2,0,0.72,No,5.0,1,0,0,0
NF-100458,2021-02-22,17.0,Male,Columbus,United States,Plus,6,$49.00,Walk-in,2,2.67,9,0,3.84,No,7.0,1,1,1,1
NF-100226,2023-04-15,29.0,F,Columbus,United States,Basic,1,$29.00,Website,27,1.83,6,5,5.58,Yes,9.0,1,0,0,0
NF-102703,2022-03-31,42.0,Male,Columbus,United States,Basic,1,$25.00,Website,15,2.87,9,0,17.51,Yes,5.0,0,0,0,0
NF-100409,2022-12-13,24.0,Male,Portland,United States,Plus,12,$54.00,Website,23,1.19,3,0,1.38,Yes,7.0,0,2,0,0
NF-101916,2022-03-17,53.0,M,Boise,United States,Plus,6,$49.00,Website,14,2.12,6,2,2.91,No,4.0,2,0,0,0
NF-102000,2021-12-11,37.0,Male,Denver,United States,Basic,1,$25.00,Walk-in,11,0.95,2,0,1.72,No,2.0,1,0,1,1
NF-101382,2022-11-15,27.0,Female,Austin,United States,Plus,1,$49.00,Mobile App,22,2.52,6,0,2.39,Yes,6.0,0,1,0,0
NF-100850,2021-07-11,34.0,F,Denver,United States,Basic,1,$29.00,Walk-in,6,2.19,8,0,4.35,Yes,9.0,0,1,0,0
NF-100828,2021-12-08,32.0,Female,Columbus,United States,Basic,1,$25.00,Mobile App,11,1.66,6,2,1.37,No,5.0,2,0,1,1
NF-102732,2022-12-12,61.0,Female,Denver,United States,Plus,12,$49.00,Mobile App,23,0.85,2,0,6.24,Yes,3.0,2,0,1,1
NF-100312,2021-03-05,33.0,female,Portland,United States,Plus,12,$45.00,Mobile App,2,6.82,21,0,3.37,Yes,10.0,0,1,0,0
NF-100800,2022-11-02,51.0,female,Portland,United States,Basic,12,$34.00,Website,22,1.58,4,0,0.5,No,5.0,1,1,1,1
NF-102315,2021-02-17,18.0,F,Austin,United States,Basic,6,$29.00,Website,2,1.96,5,5,1.19,No,,1,0,0,0
NF-102185,2021-01-26,34.0,Female,Denver,United States,Basic,12,$29.00,Website,1,1.26,3,0,9.05,Yes,5.0,0,0,0,0
NF-102031,2021-08-20,43.0,female,Raleigh,United States,Plus,12,$45.00,Mobile App,8,0.5,2,3,0.88,Yes,7.0,0,0,0,0
NF-100885,2023-03-26,38.0,Female,Portland,United States,Basic,6,$25.00,Website,27,1.94,7,0,1.51,Yes,8.0,0,0,0,0
NF-101105,2021-08-20,36.0,Male,Denver,United States,Plus,6,$54.00,Website,8,1.95,7,0,3.02,Yes,5.0,1,0,0,0
NF-100977,2021-12-09,16.0,Male,Austin,United States,Basic,1,$29.00,Referral,11,2.44,9,5,1.91,No,6.0,0,1,1,1
NF-101435,2023-05-01,21.0,Female,Columbus,United States,Basic,1,$25.00,Website,28,1.6,4,8,4.33,Yes,,3,0,0,0
NF-101168,2021-02-16,49.0,Male,Columbus,United States,Plus,12,$49.00,Mobile App,2,1.48,4,2,1.96,Yes,6.0,0,0,1,1
NF-100910,2021-02-27,,MALE,Columbus,United States,Basic,6,$29.00,Website,2,2.59,7,0,4.09,No,8.0,0,1,0,0
NF-102113,2022-03-26,34.0,FEMALE,Austin,United States,Basic,6,$29.00,Walk-in,15,3.64,12,2,1.1,Yes,8.0,0,1,0,0
NF-102705,2022-03-04,30.0,M,Denver,United States,Plus,12,$49.00,Mobile App,14,2.01,8,0,,No,5.0,0,0,0,0
NF-100318,2022-08-12,24.0,Male,Austin,United States,Plus,6,$54.00,Mobile App,19,1.16,4,0,0.88,Yes,7.0,1,0,1,1
NF-101522,2023-06-15,54.0,Male,Columbus,United States,Plus,12,$54.00,Mobile App,29,2.61,7,7,11.36,No,6.0,0,0,0,0
NF-102865,2022-07-08,39.0,FEMALE,Portland,United States,Premium,24,$79.00,Website,18,4.12,13,6,1.73,Yes,7.0,0,2,0,0
NF-101743,2021-08-18,37.0,male,Portland,United States,Basic,1,$25.00,Referral,8,1.79,6,5,1.44,Yes,5.0,0,1,0,0
NF-100499,2021-07-11,32.0,Female,Portland,United States,Plus,6,$54.00,Referral,6,2.42,9,1,6.16,Yes,5.0,0,0,1,1
NF-101924,2023-09-06,35.0,F,Portland,United States,Premium,12,$79.00,Mobile App,32,1.23,3,0,7.93,Yes,4.0,2,0,0,0
NF-102680,2021-05-31,19.0,Female,Denver,United States,Basic,12,$29.00,Walk-in,5,5.89,17,0,5.16,Yes,,0,0,0,0
NF-100246,2023-01-28,36.0,FEMALE,Denver,United States,Plus,1,$54.00,Website,25,3.65,12,0,2.9,Yes,10.0,1,1,0,0
NF-102160,2022-06-30,30.0,Male,Portland,United States,Premium,12,$79.00,Referral,18,3.11,10,0,3.42,No,7.0,1,1,0,0
NF-101711,2023-04-16,38.0,Male,Columbus,United States,Basic,12,$29.00,Mobile App,27,1.59,7,0,7.45,Yes,5.0,0,1,0,0
NF-102745,2021-05-26,50.0,M,Columbus,United States,Basic,6,$29.00,Website,5,3.15,9,0,10.16,Yes,8.0,0,2,0,0
NF-101181,2022-02-15,30.0,male,Austin,United States,Premium,24,$84.00,Referral,13,2.18,8,0,2.37,No,8.0,1,0,0,0
NF-100892,2021-05-19,52.0,Male,Austin,United States,Plus,1,$49.00,Walk-in,5,1.57,5,0,2.29,No,6.0,1,0,0,0
NF-101303,2021-01-18,16.0,Male,Austin,United States,Basic,6,$25.00,Referral,1,1.47,4,0,2.97,Yes,5.0,0,1,1,1
NF-101757,2022-08-28,51.0,Female,Columbus,United States,Premium,12,$79.00,Referral,20,1.31,5,1,4.76,Yes,6.0,2,0,0,0
NF-102424,2023-01-08,,Female,Portland,United States,Basic,12,$34.00,Website,24,2.51,9,0,2.08,Yes,6.0,2,1,1,1
NF-102973,2023-05-13,44.0,Female,Columbus,United States,Basic,6,$29.00,Website,28,3.17,11,1,,No,9.0,0,0,1,1
NF-102429,2021-04-01,41.0,Male,Raleigh,United States,Plus,1,$54.00,Mobile App,3,1.21,3,0,0.61,No,5.0,2,0,0,0
NF-102867,2023-07-13,34.0,F,Portland,United States,Plus,12,$49.00,Mobile App,30,6.25,21,0,4.74,No,10.0,0,1,0,0
NF-100003,2022-04-05,32.0,Male,Denver,United States,Plus,1,$49.00,Mobile App,15,4.03,13,0,6.41,Yes,6.0,1,1,0,0
NF-100000,2022-10-12,37.0,F,Portland,United States,Basic,1,$29.00,Website,21,1.29,6,0,1.59,No,6.0,2,0,1,1
NF-102525,2022-01-11,33.0,Female,Denver,United States,Plus,6,$45.00,Website,12,3.48,11,0,1.54,No,9.0,2,1,0,0
NF-102369,2021-09-23,26.0,Male,Denver,United States,Plus,12,$49.00,Mobile App,9,2.85,9,0,,Yes,7.0,0,0,1,1
NF-102049,2022-12-10,31.0,Female,Austin,United States,Basic,1,$34.00,Website,23,2.3,7,5,3.0,Yes,6.0,0,1,0,0
NF-100823,2023-05-06,50.0,Male,Austin,United States,Plus,12,$49.00,Website,28,1.11,4,2,4.01,Yes,5.0,2,0,1,1
NF-102571,2022-08-28,51.0,M,Denver,United States,Plus,12,$49.00,Mobile App,20,2.1,6,3,2.14,Yes,8.0,1,0,0,0
NF-102180,2023-03-03,48.0,F,Austin,United States,Basic,12,$25.00,Website,26,5.76,18,23,2.18,No,8.0,0,0,0,0
NF-102989,2021-08-22,43.0,female,Denver,United States,Basic,12,$29.00,Website,8,1.38,5,0,1.11,No,,1,0,0,1
NF-100604,2021-08-31,33.0,Male,Denver,United States,Plus,12,$54.00,Referral,8,1.44,5,0,1.31,Yes,5.0,0,0,0,0
