Date,Category,Value,Product,Sales,Region
2023-05-08,A,,Product4,409.12,East
2023-05-09,D,93.3,Product2,378.84,North
2023-05-10,D,,Product3,,South
2023-05-11,D,61.1,Product4,683.36,South
2023-05-12,A,92.4,Product1,7200.0,West
2023-05-13,A,13.1,Product1,149.55,South
2023-05-14,A,72.8,Product5,326.3,North
2023-05-15,C,36.8,Product3,422.3,
2023-05-16,A,93.2,,634.97,South
2023-05-17,A,97.4,Product5,468.63,West
2023-05-18,A,95.0,Product4,749.26,South
2023-05-19,C,52.7,Product3,319.06,North
2023-05-20,A,87.6,Product1,550.04,West
2023-05-21,D,86.0,Product1,555.42,South
2023-05-22,A,38.7,Product2,403.42,West
2023-05-23,D,84.6,Product3,703.3,North
2023-05-24,D,,Product4,,East
2023-05-25,D,63.7,Product5,565.83,North
2023-05-26,C,30.7,Product5,298.69,North
2023-05-27,C,20.9,Product4,129.18,North
2023-05-28,C,16.9,Product2,123.51,North
2023-05-29,A,72.7,Product5,361.69,East
2023-05-30,D,,Product3,221.24,East
2023-05-31,C,75.2,Product2,710.56,West
2023-06-01,C,15.9,Product3,86.68,South
2023-06-02,A,38.4,Product1,314.93,East
2023-06-03,C,58.6,Product2,566.8,East
2023-06-04,A,81.2,Product5,394.23,South
2023-06-05,B,38.7,Product2,330.44,East
2023-06-06,C,66.3,Product2,401.28,North
2023-06-07,B,89.7,Product2,1049.8,North
2023-06-08,A,65.4,Product2,514.59,South
2023-06-09,D,31.0,Product3,323.89,West
2023-06-10,C,12.2,Product1,102.5,West
2023-06-11,A,88.3,Product4,383.87,South
2023-06-12,D,11.9,Product2,107.88,South
2023-06-13,D,88.7,Product5,1029.92,North
2023-06-14,B,57.6,Product2,507.62,West
2023-06-15,A,94.5,Product5,997.31,East
2023-06-16,D,81.9,Product3,906.93,North
2023-06-17,C,99.8,Product5,581.3,South
2023-06-18,C,41.6,Product4,236.97,West
2023-06-19,B,79.0,Product1,702.14,East
2023-06-20,D,46.2,Product5,336.72,East
2023-06-21,A,53.2,Product5,570.24,North
2023-06-22,C,66.5,Product1,744.81,West
2023-06-23,D,88.6,Product4,604.91,West
2023-06-24,D,98.6,Product2,581.24,South
2023-06-25,B,79.1,Product5,810.32,West
2023-06-26,C,47.6,Product1,295.05,West
2023-06-27,C,47.9,Product3,506.83,North
2023-06-28,A,76.4,Product1,564.59,West
2023-06-29,C,31.5,,294.22,East
2023-06-30,A,19.9,Product4,94.81,North
2023-07-01,C,41.9,Product2,376.72,North
2023-07-02,B,35.9,Product1,273.35,South
2023-07-03,C,36.7,Product5,319.03,West
2023-07-04,A,275.0,Product4,165.67,South
2023-07-05,A,13.8,Product1,136.55,East
2023-07-06,B,11.6,Product5,126.47,North
2023-07-07,C,98.9,Product1,567.08,North
2023-07-08,C,48.5,Product3,231.14,North
2023-07-09,B,44.6,Product1,186.83,East
2023-07-10,C,71.2,Product1,650.47,East
2023-07-11,C,29.6,Product1,262.16,South
2023-07-12,,95.5,Product4,799.68,South
2023-07-13,C,80.8,Product1,473.13,South
2023-07-14,C,18.0,Product5,128.29,West
2023-07-15,B,47.6,Product3,416.78,North
2023-07-16,B,89.1,Product3,710.5,North
2023-07-17,D,95.0,Product1,1130.72,South
2023-07-18,A,52.1,Product4,265.27,North
2023-07-19,C,65.2,Product4,623.39,South
2023-07-20,C,25.0,Product5,180.86,West
2023-07-21,D,99.2,Product1,736.62,West
2023-07-22,C,30.9,Product3,300.99,East
2023-07-23,A,94.8,Product4,904.34,West
2023-07-24,D,68.5,Product1,817.21,South
2023-07-25,A,64.7,Product4,325.26,West
2023-07-26,D,56.1,Product4,271.12,East
2023-07-27,D,30.8,Product3,301.68,North
2023-07-28,B,25.9,Product2,223.44,South
2023-07-29,,29.8,Product5,184.56,North
2023-07-30,C,26.8,Product5,124.23,East
2023-07-31,C,80.2,Product3,375.76,East
2023-08-01,A,41.5,Product4,462.87,East
2023-08-02,C,15.2,Product1,84.13,North
2023-08-03,C,97.2,Product4,640.25,North
2023-08-04,A,89.5,Product3,520.29,North
2023-08-05,D,93.5,Product5,639.54,North
2023-08-06,A,99.5,Product4,453.26,East
2023-08-07,D,25.7,Product5,209.52,East
2023-08-08,C,45.7,Product1,207.52,South
2023-08-09,C,78.2,Product5,813.5,South
2023-08-10,C,72.6,Product5,426.14,North
2023-08-11,B,23.9,Product2,,West
2023-08-12,D,83.4,Product2,920.79,West
2023-08-13,B,30.2,Product2,278.05,East
2023-08-14,B,400.0,Product5,248.74,East
2023-08-15,A,58.3,Product3,384.47,East
2023-08-16,B,63.4,Product5,422.5,
2023-08-17,A,62.2,Product3,581.94,South
2023-08-18,A,18.2,Product3,217.55,East
2023-08-19,B,,Product2,827.23,East
2023-08-20,D,33.9,Product4,286.87,East
2023-08-21,D,21.7,Product1,213.64,West
2023-08-22,D,90.0,Product2,694.95,South
2023-08-23,D,96.0,Product2,430.19,West
2023-08-24,D,87.6,Product4,744.46,West
2023-08-25,B,82.9,Product1,966.7,East
2023-08-26,B,69.0,Product5,372.77,East
2023-08-27,C,59.6,Product5,567.39,North
2023-08-28,D,17.8,Product2,99.81,North
2023-08-29,B,46.8,Product1,387.81,West
2023-08-30,C,43.5,Product2,207.64,South
2023-08-31,D,33.4,Product3,253.94,East
2023-09-01,A,75.1,Product2,754.7,East
2023-09-02,C,54.6,Product2,370.22,West
2023-09-03,B,17.3,Product5,161.22,North
2023-09-04,A,29.8,Product5,308.84,South
2023-09-05,A,71.5,Product5,816.35,North
2023-09-06,A,,Product3,99.32,North
2023-09-07,C,86.6,Product5,623.05,North
2023-09-08,B,54.6,Product1,284.98,North
2023-09-09,A,53.3,Product4,5000.0,East
2023-09-10,D,,Product1,722.63,East
2023-09-11,A,84.2,Product1,700.52,North
2023-09-12,A,41.3,Product5,443.41,South
2023-09-13,C,71.0,Product4,579.9,West
2023-09-14,C,60.9,Product4,547.41,South
2023-09-15,B,34.0,Product4,160.24,South
2023-09-16,D,89.1,Product3,894.76,South
2023-09-17,C,81.8,Product5,410.78,North
2023-09-18,A,69.3,Product4,735.17,East
2023-09-19,B,86.6,Product3,888.19,South
2023-09-20,A,88.1,Product2,851.92,North
2023-09-21,A,73.8,Product2,316.55,South
2023-09-22,C,85.3,Product3,548.05,South
2023-09-23,B,72.8,,444.44,North
2023-09-24,D,71.2,Product5,489.93,East
2023-09-25,D,65.7,Product5,308.87,East
2023-09-26,,77.7,Product2,893.21,West
2023-09-27,C,24.3,Product4,204.86,North
2023-09-28,B,89.3,Product2,575.47,West
2023-09-29,D,88.5,Product4,635.06,West
2023-09-30,D,12.6,Product4,95.48,West
2023-10-01,,84.3,Product5,742.24,East
2023-10-02,A,21.6,Product1,175.51,North
2023-10-03,D,40.2,Product1,456.48,West
2023-10-04,A,76.9,Product3,613.33,North
2023-10-05,B,24.5,Product5,292.46,North
2023-10-06,A,83.6,Product4,903.83,East
2023-10-07,B,84.9,Product1,481.22,West
2023-10-08,D,55.7,Product4,,West
2023-10-09,D,10.6,,52.27,North
2023-10-10,B,35.8,Product1,377.32,South
2023-10-11,C,65.5,Product1,461.45,East
2023-10-12,B,98.3,Product5,1083.64,East
2023-10-13,C,66.9,Product2,732.18,East
2023-10-14,A,33.4,Product4,12000.0,East
2023-10-15,A,67.1,Product5,692.49,West
2023-10-16,A,58.6,Product5,377.23,West
2023-10-17,D,80.2,Product5,372.72,South
2023-10-18,A,19.6,Product5,141.59,East
2023-10-19,C,,Product5,422.97,East
2023-10-20,A,58.7,Product3,561.15,North
2023-10-21,B,,Product4,654.54,West
2023-10-22,B,40.8,Product5,481.64,East
2023-10-23,,66.9,Product4,610.65,South
2023-10-24,B,93.9,Product3,993.45,South
2023-10-25,C,19.2,Product3,,West
2023-10-26,A,94.4,Product4,1028.59,South
2023-10-27,D,71.9,Product1,818.37,South
2023-10-28,A,16.1,Product2,127.13,West
2023-10-29,A,37.1,Product1,328.34,East
2023-10-30,C,73.7,Product1,745.73,East
2023-10-31,B,16.1,Product1,86.92,South
2023-11-01,B,62.4,Product5,500.48,South
2023-11-02,A,41.1,Product3,295.48,East
2023-11-03,D,65.9,Product1,340.77,West
2023-11-04,B,14.1,Product3,97.86,South
2023-11-05,D,88.4,Product4,401.81,North
2023-11-06,B,97.6,Product2,410.55,West
2023-11-07,D,97.2,Product4,493.91,South
2023-11-08,C,77.5,Product4,907.13,South
2023-11-09,D,21.7,Product5,182.2,North
2023-11-10,C,78.2,Product2,917.02,North
2023-11-11,C,12.2,Product4,91.01,East
2023-11-12,D,12.0,Product4,77.93,West
2023-11-13,C,39.1,Product2,8000.0,West
2023-11-14,A,54.0,Product2,405.87,East
2023-11-15,C,79.3,Product4,384.23,West
2023-11-16,B,71.5,Product2,652.55,West
2023-11-17,D,50.1,Product4,286.99,West
2023-11-18,A,34.6,Product4,309.9,West
2023-11-19,D,99.7,Product5,917.4,West
2023-11-20,B,48.4,Product1,252.46,North
2023-11-21,B,50.6,Product4,227.23,West
2023-11-22,B,24.7,Product3,253.08,North
2023-11-23,C,81.5,Product1,625.79,West
2023-11-24,C,72.4,Product1,323.29,East
2023-11-25,D,29.9,Product1,357.57,South
2023-11-26,D,17.4,Product5,77.64,North
2023-11-27,A,71.2,Product4,680.69,West
2023-11-28,A,68.9,Product5,817.8,East
2023-11-29,D,34.6,Product4,204.61,South
2023-11-30,C,95.6,Product5,491.19,North
2023-12-01,B,23.6,Product5,117.32,South
2023-12-02,D,48.9,Product3,314.24,East
2023-12-03,A,94.9,Product5,456.31,North
2023-12-04,C,47.8,Product2,455.88,South
2023-12-05,D,67.5,Product3,303.64,West
2023-12-06,D,45.8,Product5,369.85,North
2023-12-07,C,34.7,Product1,415.48,South
2023-12-08,D,98.6,Product2,1036.46,East
2023-12-09,C,46.8,Product2,417.54,East
2023-12-10,B,90.5,Product2,583.73,North
2023-12-11,C,30.7,Product3,276.03,South
2023-12-12,C,29.2,Product5,239.92,North
2023-12-13,,12.8,Product5,94.83,North
2023-12-14,D,68.7,Product1,346.64,South
2023-12-15,D,43.2,Product1,479.21,South
2023-12-16,C,87.8,Product2,,West
2023-12-17,D,52.6,Product1,292.3,South
2023-12-18,A,97.1,Product3,674.08,East
2023-12-19,A,26.7,Product5,195.26,North
2023-12-20,D,88.2,Product2,936.71,North
2023-12-21,D,79.9,Product1,,East
2023-12-22,C,79.4,Product3,806.26,South
2023-12-23,B,86.0,Product3,351.59,East
2023-12-24,,78.5,Product1,575.34,East
2023-12-25,A,66.4,Product5,521.29,West
2023-12-26,C,21.8,Product1,90.55,East
2023-12-27,D,12.9,Product2,78.41,North
2023-12-28,A,92.9,Product1,,East
2023-12-29,A,65.5,Product3,333.85,North
2023-12-30,B,81.7,Product1,676.68,North
2023-12-31,C,53.3,Product5,304.96,North
2024-01-01,C,20.6,Product4,84.4,South
2024-01-02,B,21.3,Product1,126.3,West
2024-01-03,,71.7,Product5,846.56,North
2024-01-04,C,48.7,Product5,507.08,North
2024-01-05,C,28.0,Product3,326.95,
2024-01-06,D,54.2,Product5,428.33,North
2024-01-07,D,15.8,Product5,77.07,East
2024-01-08,B,62.4,Product5,523.14,East
2024-01-09,D,34.2,Product5,261.12,West
2024-01-10,A,81.8,,879.75,North
2024-01-11,D,37.9,Product2,181.34,South
2024-01-12,D,,Product3,403.2,East
2024-01-13,A,11.0,Product1,57.2,South
2024-01-14,B,16.5,Product5,108.86,South
2024-01-15,A,45.3,Product1,448.42,East
2024-01-16,D,53.2,Product1,,South
2024-01-17,B,64.0,Product3,448.45,East
2024-01-18,D,36.2,Product5,259.04,South
2024-01-19,A,72.5,Product5,556.48,East
2024-01-20,A,87.4,Product4,898.48,North
2024-01-21,D,80.2,Product1,,West
2024-01-22,C,250.0,Product1,158.34,East
2024-01-23,C,53.2,Product2,547.71,East
2024-01-24,A,19.4,Product4,126.55,West
2024-01-25,A,31.8,Product2,302.26,East
2024-01-26,C,98.8,Product2,741.08,East
2024-01-27,C,22.8,Product2,137.65,South
2024-01-28,D,54.9,Product3,588.91,West
2024-01-29,D,65.6,Product3,282.57,North
2024-01-30,C,73.2,Product2,820.87,East
2024-01-31,D,60.4,Product4,464.59,West
2024-02-01,D,10.9,Product1,99.16,South
2024-02-02,B,39.4,,365.43,North
2024-02-03,D,56.6,Product5,631.71,West
2024-02-04,A,17.9,Product3,162.77,North
2024-02-05,D,41.6,Product1,370.72,North
2024-02-06,D,13.0,Product1,58.93,North
2024-02-07,C,17.1,Product5,139.32,East
2024-02-08,A,45.7,Product5,237.7,East
2024-02-09,D,21.9,Product2,216.8,South
2024-02-10,D,61.1,Product3,494.77,South
2024-02-11,B,72.1,Product3,680.76,
2024-02-12,D,82.1,Product4,355.77,South
2024-02-13,D,28.0,Product2,130.99,North
2024-02-14,B,25.1,Product2,244.24,North
2024-02-15,C,310.0,Product2,88.79,East
2024-02-16,D,67.3,Product2,,North
2024-02-17,B,73.6,Product3,301.53,West
2024-02-18,A,12.8,Product3,149.15,North
2024-02-19,C,,Product2,933.58,North
2024-02-20,A,14.7,Product4,100.34,West
2024-02-21,A,58.7,Product1,374.05,South
2024-02-22,B,73.8,Product1,501.66,South
2024-02-23,D,88.4,Product4,901.43,West
2024-02-24,B,74.3,Product2,690.32,East
2024-02-25,B,82.2,,450.58,North
2024-02-26,B,40.6,Product1,218.95,West
2024-02-27,B,83.3,Product5,398.77,North
2024-02-28,C,17.2,Product5,159.66,East
2024-02-29,D,90.5,Product4,915.41,North
2024-03-01,A,59.3,Product2,362.94,West
2024-03-02,A,83.6,Product1,348.41,North
2024-03-03,D,50.7,Product2,236.13,South
2024-03-04,A,67.9,Product1,797.34,East
2024-03-05,D,57.4,Product4,365.27,East
2024-03-06,A,75.8,Product4,769.66,East
2024-03-07,B,17.3,Product5,155.65,West
2024-03-08,A,15.4,Product2,108.65,East
2024-03-09,D,32.2,Product5,,South
2024-03-10,D,24.4,Product2,121.29,West
2024-03-11,D,88.5,Product5,789.43,South
2024-03-12,D,29.7,Product3,302.85,North
2024-03-13,,97.8,Product3,894.99,North
2024-03-14,C,40.3,Product3,,North
2024-03-15,C,26.4,Product3,9500.0,North
2024-03-16,A,81.1,Product1,952.76,South
2024-03-17,D,69.3,Product3,720.01,West
2024-03-18,A,54.8,Product4,347.57,West
2024-03-19,D,60.0,Product4,710.39,East
2024-03-20,D,74.7,Product1,658.48,South
2024-03-21,C,30.6,Product3,264.98,North
2024-03-22,C,99.7,Product3,995.46,South
2024-03-23,B,97.7,Product3,1025.28,East
2024-03-24,C,68.5,Product5,633.75,East
2024-03-25,B,28.0,Product2,140.69,South
2024-03-26,B,71.2,Product5,477.48,South
2024-03-27,B,16.5,Product2,188.51,South
2024-03-28,B,12.8,Product3,74.2,West
2024-03-29,B,33.2,Product3,231.65,North
2024-03-30,,51.6,Product5,384.76,South
2024-03-31,C,88.1,Product5,662.09,South
2024-04-01,B,75.4,Product2,671.33,South
2024-04-02,D,76.8,Product4,886.63,East
2024-04-03,C,48.3,Product2,286.2,East
2024-04-04,C,41.1,Product5,204.35,West
2024-04-05,B,43.4,Product5,242.16,North
2024-04-06,A,98.9,Product1,1097.33,West
2024-04-07,B,13.6,Product5,124.66,North
2024-04-08,A,88.0,Product1,553.28,
2024-04-09,D,62.1,Product4,653.76,East
2024-04-10,C,49.5,Product2,539.1,East
2024-04-11,D,75.3,Product2,811.14,West
2024-04-12,A,53.8,Product1,610.71,South
2024-04-13,A,88.6,Product2,533.19,South
2024-04-14,D,91.1,Product5,914.67,East
2024-04-15,A,48.0,Product3,368.85,South
2024-04-16,D,34.9,Product1,374.69,South
2024-04-17,C,63.3,Product2,622.11,West
2024-04-18,D,92.1,Product1,940.49,North
2024-04-19,C,29.0,Product1,268.23,East
2024-04-20,D,66.1,Product3,358.22,East
2024-04-21,A,66.8,Product5,558.46,West
2024-04-22,D,76.0,Product1,902.68,West
2024-04-23,A,21.8,Product2,250.68,South
2024-04-24,D,74.4,Product4,323.3,East
2024-04-25,D,91.8,Product1,488.24,North
2024-04-26,B,26.2,Product1,132.41,West
2024-04-27,A,31.4,Product3,307.97,North
2024-04-28,B,97.4,Product5,1026.82,North
2024-04-29,A,26.3,Product4,150.12,East
2024-04-30,B,86.9,Product2,699.27,East
2024-05-01,C,54.3,Product4,582.4,West
2024-05-02,D,,Product2,,East
2024-05-03,A,88.4,Product5,737.07,East
2024-05-04,A,50.1,Product2,437.01,East
2024-05-05,D,56.3,Product3,454.17,North
2024-05-06,A,42.3,Product3,269.89,West
2024-05-07,A,63.4,Product3,540.18,South
2024-05-08,B,24.7,Product3,234.92,
2024-05-09,A,45.2,Product4,496.59,East
2024-05-10,C,97.2,Product5,883.58,North
2024-05-11,C,33.2,Product2,334.95,East
2024-05-12,D,69.1,Product2,364.89,East
2024-05-13,A,39.3,Product3,,North
2024-05-14,D,79.6,Product3,324.34,West
